"","Keyword","Title","Writer","averageRating","ratingAmount","reviewAmount","Summary"
"11","the lord of the rings","The Return of the Shadow: The History of The Lord of the Rings, Part One","J.R.R. Tolkien, Christopher Tolkien","4.05","2805","131","In this sixth volume of The History of Middle-earth the story reaches The Lord of the Rings. In The Return of the Shadow (an abandoned title for the first volume) Christopher Tolkien describes, with full citation of the earliest notes, outline plans, and narrative drafts, the intricate evolution of The Fellowship of the Ring and the gradual emergence of the conceptions that transformed what J.R.R. Tolkien for long believed would be a far shorter book, 'a sequel to The Hobbit'. The enlargement of Bilbo's 'magic ring' into the supremely potent and dangerous Ruling Ring of the Dark Lord is traced and the precise moment is seen when, in an astonishing and unforeseen leap in the earliest narrative, a Black Rider first rode into the Shire, his significance still unknown. The character of the hobbit called Trotter (afterwards Strider or Aragorn) is developed while his indentity remains an absolute puzzle, and the suspicion only very slowly becomes certainty that he must after all be a Man. The hobbits, Frodo's companions, undergo intricate permutations of name and personality, and other major figures appear in strange modes: a sinister Treebeard, in league with the Enemy, a ferocious and malevolent Farmer Maggot. The story in this book ends at the point where J.R.R. Tolkien halted in the story for a long time, as the Company of the Ring, still lacking Legolas and Gimli, stood before the tomb of Balin in the Mines of Moria. The Return of the Shadow is illustrated with reproductions of the first maps and notable pages from the earliest manuscripts."
"12","the lord of the rings","The Lord of the Rings: The Two Towers: Visual Companion","Jude Fisher, Viggo Mortensen","4.51","4642","29","The official, fully authorized companion to the second part of Peter Jackson's award-winning trilogy, The Lord of the Rings.The Two Towers Visual Companion is a full-color guide to the characters, places and landscapes of J.R.R. Tolkien's Middle-earth as depicted in the second film in The Lord of the Rings Trilogy, and features a special introduction by Viggo Mortensen, who plays Aragorn.Lavishly illustrated with more than 100 full-color photographs, including exclusive images of Gollum, Treebeard and the battle of Helm's Deep, The Two Towers Visual Companion offers a privileged tour through the principal events of the second film. It begins with a recounting of The Fellowship of the Ring, and then takes the reader on the separate journeys undertaken by the Fellowship in The Two Towers.The Ring Quest: in which Frodo and Sam journey alone towards Mordor, alone that is, except for the sneaking figure of Gollum, who has been dogging their footsteps since Moria.The Captives' Journey: in which Merry and Pippin are carried by the fearsome Uruk-hai towards a fateful encounter with the wizard, Saruman, at the stronghold of Isengard.The Companions' Journey: in which Aragorn, Legolas and Gimli pursue the abducted hobbits across the Plains of Rohan and into the eaves of Fangorn Forest.Also included are a brand new map of Rohan and Gondor and a specially commissioned battle plan of the climactic events at Helm's Deep, where a brave stand will be made by the Free Peoples of Middle-earth against Saruman's horde.The companion offers an unforgettable tour of the haunted swamp of the Dead Marshes and the lovely but dangerous land of Ithilien which borders Mordor, the breathtaking kingdom of Rohan, home of the Horse-lords, its seat of power, Edoras, and the ancient stronghold of Helm's Deep, and provides an invaluable introduction to Peter Jackson's The Two Towers."
"13","the lord of the rings","The Lord of the Rings and Philosophy: One Book to Rule Them All","Gregory Bassham, Eric Bronson","4.27","5052","50","Can power be wielded for good, or must it always corrupt? Does technology destroy the truly human? Is beer essential to the good life? The Lord of the Rings raises many such searching questions, and this book attempts some answers. Divided into five sections concerned with power and the Ring, the quest for happiness, good and evil in Middle-earth, time and mortality, and the relevance of fairy tales, The Lord of the Rings and Philosophy mines Tolkien¡¯s fantasy worlds for wisdom in areas including the menace of technology, addiction and fetishism, the vitality of tradition, the environmental implications of Tolkien's thought, Middle-earth's relationship to Buddhism and Taoism, and more."
"14","the lord of the rings","The Fellowship of the Ring (The Lord of the Rings, #1)","Brian Sibley, Michael Bakewell, J.R.R. Tolkien","E","4239","138","A BBC radio full-cast dramatisation of the first book in JRR Tolkien's Lord of the Rings trilogy. Brian Sibley's famous 1981 adaptation, starring Ian Holm and Michael Hordern."
"15","the lord of the rings","The Lord of the Rings: A Reader's Companion","","4.35","4468","34","In The Lord of the Rings: A Reader's Companion internationally acclaimed scholars Wayne G. Hammond and Christina Scull examine Tolkien's masterpiece chapter by chapter, offering expert insights into its evolution, structure, and meaning. They discuss in close detail important literary and historical influences on the development of The Lord of the Rings, connections between that work and other writings by Tolkien, errors and inconsistencies, significant changes to the text during its fifty years of publication, archaic and unusual words used by Tolkien, and words and passages in his invented languages of Middle-earth. Thousands of notes, keyed to standard editions of The Lord of the Rings but universally accessible, reveal the richness and complexity of one of the most popular works of fiction in our time. In addition to their own expertise and that of other scholars and critics, Hammond and Scull frequently draw upon comments by Tolkien himself, made in letters to family, friends, and enthusiasts, in draft texts of The Lord of the Rings, and in works written in later years which amplify or illuminate characters and events in the story. Extensive reference is made also to writings by Tolkien not previously or widely published, including elaborate time-schemes, an unfinished manuscript index to The Lord of the Rings, and most notably, the important Nomenclature or guide to names in The Lord of the Rings prepared for the use of translators, long out of print and now newly transcribed and printed in its entirety. With these resources at hand, even the most seasoned reader of The Lord of the Rings will come to a greater enjoyment and appreciation of Tolkien's magnificent achievement."
"16","the lord of the rings","The Silmarillion: The Epic History of the Elves in The Lord of the Rings","","3.94","241114","9112","Alternate cover for ISBN 0345325818 (ISBN13: 9780345325815)The Silmarillion is Tolkien's first book and his last. Long preceding in its origins The Lord of the Rings, it is the story of the First Age of Tolkien's world, the ancient drama to which characters in The Lord of the Rings look back, and in which some of them, such as Elrond and Galadriel, took part. The Silmarillion was begun in 1917, and Tolkien worked on it, changed it, and enlarged it throughout his life. Edited by his son, Christopher Tolkien, the book finally appeared four years after the author's death."
"17","the lord of the rings","The End of the Third Age: The History of The Lord of the Rings, Part Four","J.R.R. Tolkien, Christopher Tolkien","4.23","496","15","The End of the Third Age is comprised of the first section of the hardcover volume published as Sauron Defeated, the ninth volume of The History of Middle-earth. It completes Christopher Tolkien's account of the creation of The Lord of the Rings begun in the earlier volumes, The Return of the Shadow, The Treason of Isengard, and The War of the Ring.The End of the Third Age begins with Sam's rescue of Frodo from the Tower of Kirith Ungol, and giving a very different account of the Scouring of the Shire, this part ends with versions of the hitherto unpublished Epilogue, in which, years after the departure of Bilbo and Frodo from the Grey Havens, Sam attempts to answer his children's questions.The book is illustrated with changing conceptions of Kirith Ungol and Mount Doom, as well as previously unpublished drawings of Orthanc and Dunharrow."
"18","the lord of the rings","The Ring Sets Out","J.R.R. Tolkien","4.31","1454","71","Continuing the story of The Hobbit, this seven-volume paperback boxed set of Tolkien's epic masterpiece, The Lord of the Rings is a collection to treasure. Sauron, the Dark Lord, has gathered to him all the Rings of Power; the means by which he intends to rule Middle-earth. All he lacks in his plans for dominion is the One Ring -- the ring that rules them all -- which has fallen into the hands of the hobbit, Bilbo Baggins. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as the Ring is entrusted to his care. He must leave his home and make a perilous journey across the realms of Middle-earth to the Crack of Doom, deep inside the territories of the Dark Lord. There he must destroy the Ring forever and foil the Dark Lord in his evil purpose. Discover the incredible epic journey of Frodo in a celebratory seven-volume boxed set of fantasy classic, The Lord of the Rings."
"19","the lord of the rings","Tolkien's Ordinary Virtues: Exploring the Spiritual Themes of the Lord of the Rings","Peter Kreeft","4.21","1160","78","While nothing can equal or replace the adventure in reading Tolkien¡¯s masterwork,<U+00A0>The Lord of the Rings, Peter Kreeft says that the journey into its underlying philosophy can be another exhilarating adventure.Thus, Kreeft takes the reader on a voyage of discovery into the philosophical bones of Middle earth. He organizes the philosophical themes in The Lord of the Rings into 50 categories, accompanied by over 1,000 references to the text of Lord.Since many of the great questions of philosophy are included in the 50-theme outline, this book can also be read as an engaging introduction to philosophy. For each of the philosophical topics in Lord, Kreeft presents tools by which they can be understood.<U+00A0>Illustrated."
"20","the lord of the rings","The Fellowship of the Ring","Mark Eddy Smith","4.03","1350","74","E"
